time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-04 09:30:00-05:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,328.07000732421875,155.0,0.0
2020-02-10 09:30:00-05:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,150.0,0.0
2020-02-11 09:30:00-05:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,336.1600036621094,150.0,0.0
2020-02-13 09:30:00-05:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,147.0,0.0
2020-02-14 09:30:00-05:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-14 09:30:00-05:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,337.510009765625,147.0,0.0
2020-03-06 09:30:00-05:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-07 09:30:00-05:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-07 09:30:00-05:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-09 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,173.0,0.0
2020-03-10 09:30:00-04:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,280.70001220703125,173.0,0.0
2020-04-13 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,176.0,0.0
2020-04-14 09:30:00-04:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-14 09:30:00-04:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,277.57000732421875,176.0,0.0
2020-04-27 09:30:00-04:00,GOATBOT,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,GOATBOT,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,171.0,0.0
2020-06-15 09:30:00-04:00,GOATBOT,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,GOATBOT,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,79.0,0.0
2020-06-15 09:30:00-04:00,GOATBOT,SPY,sell,market,fill,1,day,0.0,1,stock,315.4800109863281,171.0,0.0
2020-06-16 09:30:00-04:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,314.07000732421875,79.0,0.0
2020-06-22 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,166.0,0.0
2020-06-23 09:30:00-04:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-23 09:30:00-04:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,309.8399963378906,166.0,0.0
2020-06-25 09:30:00-04:00,GOATBOT,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,GOATBOT,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,171.0,0.0
2020-08-05 09:30:00-04:00,GOATBOT,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,GOATBOT,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,79.0,0.0
2020-09-14 09:30:00-04:00,GOATBOT,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,GOATBOT,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,GOATBOT,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,GOATBOT,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,GOATBOT,SPY,sell,market,fill,1,day,0.0,1,stock,341.1199951171875,250.0,0.0
2020-09-14 09:30:00-04:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,38.0,0.0
2020-09-15 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.510009765625,182.0,0.0
2020-09-15 09:30:00-04:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,341.510009765625,38.0,0.0
2020-09-16 09:30:00-04:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-16 09:30:00-04:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,333.55999755859375,182.0,0.0
2021-07-16 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,129.0,0.0
2021-07-17 09:30:00-04:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-07-17 09:30:00-04:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,436.010009765625,129.0,0.0
2022-01-21 09:30:00-05:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,126.0,0.0
2022-01-22 09:30:00-05:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-01-22 09:30:00-05:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,445.55999755859375,126.0,0.0
2022-03-04 09:30:00-05:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,130.0,0.0
2022-03-05 09:30:00-05:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-05 09:30:00-05:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,431.75,130.0,0.0
2022-03-18 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,GOATBOT,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,129.0,0.0
2022-03-19 09:30:00-04:00,GOATBOT,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-19 09:30:00-04:00,GOATBOT,SPY,buy,stop,fill,1,day,0.0,1,stock,438.0,129.0,0.0
2022-03-24 09:30:00-04:00,GOATBOT,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
